title,writer,publisher,year,journal,vol_no,link,abstracts
특수학급 교사의 교권 침해 경험 실태 및 교권 보호에 대한 인식과 지원방안,"김소현(Kim, So-Hyun),정은희(Jeong, Eun-Hee)",한국청각·언어장애교육학회,2021,한국청각·언어장애교육연구,Vol.12 No.1,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=699b1fa32d3ed208c85d2949c297615a&keyword=교권침해,"This study was a survey of 90 teachers of special classes in middle and high schools in G metropolitan city to find out the actual condition of infringement of school rights, awareness of protection of school rights, and support plans. As a result, first, most of the teachers had a serious level of infringement of teacher rights, and the subject of infringement was mainly parents. Teachers with less experience were less aware of the master plan for the protection of teachers’ rights. Teachers said that teachers’ opinions were not reflected when establishing an educational policy for infringement of teachers’ rights. In the event of a violation of teacher rights, the full-time teacher referred to a fellow teacher as the subject of resolution, and the fixed-term teacher was the school manager. Second, as a support plan for the protection of teachers’ rights, it is necessary to strengthen a social atmosphere that respects teachers, and that schools and offices of education should support them. In order to prevent infringement of teachers’ rights, it was requested to improve the professionalism of teachers and to establish a department in charge of teaching rights. Lastly, we discussed the promotion of teachers’ rights infringement counseling institutions and the development of linkage programs with front schools. 본 연구는 중․고등학교 특수학급 교사의 교권 침해 실태와 교권 보호에 대한 인식, 그리고 지원방안을 조사한 것이다. 연구대상은 G 광역시 중․고등학교 특수학급 교사 90명이다. 연구 결과 첫째, 대부분 교사가 심각한 교권 침해 경험이 있고, 침해의 주체는 주로 학부모이다. 교권 보호 기본계획에 대해서는 저 경력 교사들이 더 인지하지 못하였다. 교사들은 교육정책 수립 시 교사들의 의견이 반영되지 않는다고 하였으며, 교권 침해 발생 시 해결의 주체로 정교사는 동료 교사를, 기간제 교사는 학교관리자라고 하였다. 둘째, 교권 보호 방안으로는 교사를 존중하는 사회적 분위기를 강화해야 하며, 학교와 교육청에서 지원해야 한다고 했다. 교권 침해 예방과 교권 보호를 위해 교사는 전문성 향상을, 학교에는 교권 업무 담당 부서의 설치를 요구하였다. 마지막으로 교권 침해 상담 기관 홍보와 일선 학교와의 연계 프로그램 개발, 교권 업무 담당 부서 설치의 필요성 등에 대해 논의하였다."
보육교사 발달단계에 따른 교권 침해 경험 및 대응 요구 분석,"김보현(Kim, Bo-Hyun),박미경(Park, Mi-Kyung),최양미(Cho, Yang-Mi),이홍재(Lee, Hong-Jae)",학습자중심교과교육학회,2020,학습자중심교과교육연구,Vol.20 No.5,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1a88db20e88e7d074884a65323211ff0&keyword=교권침해,"This study analyzed the difference in the experience of infringement and the demand for response according to the development stage of child care teachers. The subjects of the study were 343 child care teachers in the daycare center in Gyeonggi-do. According to the development stage of child care teachers, there was a difference in the experience of infringement of teaching rights in each authority. Compared to other developmental teachers, maturity teachers had more experiences in infringement of educational rights and property rights, while consolidation and renewal teachers had more infringement of identity rights. According to the analysis on the demand for response to infringement of child care teachers, there was a difference in the perception of the subjects to resolve in case of infringement. The child care teacher had a common understanding that the director should be the main subject. Survival, renewal, and maturity teachers tended to recognize that administrative agencies should participate as resolution agents, while consolidation teachers tended to recognize that victims participated as resolution agents. These results suggest that there may be a difference in the pattern of infringement experience depending on the stage of teacher development, and it is necessary to provide an appropriate working environment at the stage of development in order to protect the authority of teachers and strengthen their professionalism. 본 연구에서는 보육교사 발달단계에 따른 교권 침해 경험 및 대응 요구의 차이를 분석하였다. 연구대상은 경기도 내 어린이집에 재직 중인 보육교사 343명이며 설문조사를 통해 자료를 수집하였다. 보육교사 발달단계에 따라 교권 영역별 교권 침해 경험에 유의한 차이가 나타났다. 성숙기 교사는 다른 발달단계 교사에 비해 교육권 및 재산권 침해 경험이 많은 것으로 분석되었으며, 강화기, 갱신기 교사는 신분권 침해 경험이 많은 것으로 나타났다. 보육교사의 교권 침해 대응 요구도 분석에서는 교사 발달단계에 따라 교권 침해시 해결 주체에 대한 인식에 차이가 있음을 확인할 수 있었다. 보육교사는 원장이 주체가 되어 해결해야 한다는 인식은 공통적인 결과이지만 생존기, 갱신기, 성숙기 교사는 행정기관이 해결 주체로 참여해야 한다는 인식이 많은 반면 강화기 교사는 피해당사자가 해결 주체로 참여해야 한다는 인식을 보이고 있다. 이러한 결과는 교사 발달단계에 따라 교권 침해 경험의 양상에 차이가 나타날 수 있으며 보육교사의 교권 보호 및 전문성 강화를 위해서는 발달단계에 적절한 근무 환경과 지원이 필요함을 시사한다."
교권 침해와 피해 회복에 대한 질적 메타종합 연구,변유경(Youkyoung Byun),한국교원교육학회,2024,한국교원교육연구,Vol.41 No.1,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=733061607b30ad407f7a54760bb41745&keyword=교권침해,"본 연구는 교사들의 교권 침해 피해 경험과 회복을 주제로 국내에서 수행된 질적연구를 분석한 질적 메타종합 연구이다. 연구 방법은 개별적인 질적연구 결과물들을 넘어서 보다 심화, 확장된 해석과 현상에 대한 설명 모델을 구성하고자 하는 Aguirre와 Bolton(2014)이 제시한 질적 해석적 메타종합 연구로 접근했다. 연구에서는 평정 절차를 거쳐 11편의 질적 연구물들을 분석했다. 질적 연구물들을 분석한 결과 195개의 개별주제, 66개의 통합주제, 17개의 핵심 주제로 나타났다. 연구자는 이를 교권 침해, 학부모 원인, 제도적 원인으로 나누어 분석했고, 교권 침해의 핵심 피해 문제, 피해 확산, 대처 전략을 분석한 후 교사들의 회복 전략에 영향을 주는 맥락과 결과를 분석했다. 연구 결과에 근거하여 교권 침해에 대한 교육 공동체의 침묵과 공모, 교권 침해로 인한 교실의 붕괴, 학생 인권과 교권의 양립 가능성, 교사들의 직업 소명 의식에 대한 논의와 교사들의 교권 침해를 예방하고 이를 회복할 수 있는 교육학 차원에서 제언하였다. This study is a qualitative meta-synthesis study that analyzed qualitative research conducted in Korea on the topic of teachers' experience and recovery from violations of their teaching rights. The research method was approached as a qualitative interpretive meta-synthesis study presented by Aguirre and Bolton(2014), which seeks to construct a deeper and expanded interpretation and explanatory model for the phenomenon beyond individual qualitative research results. In the study, 11 qualitative studies were analyzed through an evaluation process. As a result of analyzing the qualitative research materials, 195 individual themes, 66 integrated themes, and 17 core themes were identified. The researcher analyzed this by dividing it into violations of teaching rights, parental causes, and institutional causes. After analyzing the core damage issues, spread of damage, and coping strategies of violations of teaching rights, the context and results that affected teachers' recovery strategies were analyzed. Based on the research results, discussions were held on the silence and complicity of the educational community regarding violations of teaching rights, the collapse of classrooms due to violations of teaching rights, the possibility of compatibility between student human rights and teaching rights, and teachers' sense of professional calling, as well as preventing and recovering teachers' violations of teaching rights. Suggestions were made on what could be done at the pedagogical level."
`특수교사의 교권 침해 실태 및 개선 방안”에 대한 토론문 2,윤상원,한국교원교육학회,2016,한국교원교육학회 학술대회자료집,Vol.- No.학술대회,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=fca892d5daec76c96aae8a972f9116fb&keyword=교권침해,"발표자의 연구는 교권침해 상황과 교권침해 예방 및 보호에 관한 연구가 이미
활발하게 이루어져 왔던 일반교사에 비해 상대적으로 소홀히 다루어졌던 특수교사
의 교권침해에 대한 문제를 다루었다는 점에서 특수교사의 교권신장에 기여할 수
있는 의미 있는 연구라고 생각한다. 특히, 일반교사의 교권침해와 관련해서는 다양
한 언론매체를 통해 이미 알려져 왔을 뿐 아니라 이에 발맞추어 2016년 1월 「교
원지위향상을 위한 특별법」도 개정되었다. 하지만 발표자가 제시한 연구의 필요
성에 언급된 바와 같이 특수교사의 경우 장애라 명명된 학생들의 ‘비의도적 폭력
적 행위에 대한 피해 침묵’, ‘폭력적 행위에 대한 저지 또는 자기 보호 과정에서
마찰에 대한 부모의 과잉대응’, ‘관리자의 특수교육 이해 부족’ 등으로 인한 교권침
해 유형의 특수성이 존재함에도 불구하고 그 실태조차 파악되지 못하고 있다. 특
수교사의 특수성을 고려한 교권침해 실태와 개선점이라는 기존에 연구되지 못한
주제를 다뤘다는 점에서 연구로서 가치를 가진다고 할 수 있다. 더욱이 특수교사
들이 일상에서 경험하는 교권침해 문제에 대한 사회적 관심을 불러일으키는 계기
를 제시했다는 점에서도 실천적 함의를 지닌다고 할 수 있다."
특수교사의 교권 침해 실태 및 개선 방안,"김호연,이경아,윤상원",한국교원교육학회,2016,한국교원교육학회 학술대회자료집,Vol.2016 No.05,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e10a585cf0e4bbbf7f7a54760bb41745&keyword=교권침해,<NoAbs.>
교권 침해와 한국의 인간 대상화 현상: 감정 노동에 익숙해진 사람들을 위한 포커싱 영성 훈련,한혜현,연세대학교 신과대학 연합신학대학원,2024,신학논단,Vol.115 No.-,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=884ff02eb505be94b36097776a77e665&keyword=교권침해,"교권 침해 문제 이면에 존재하는 한국 사회의 인간 대상화(human objectification)와 자기 대상화(self-objectification) 현상에 대한 문제의식에서 시작된 이 연구는 감정 노동에 익숙해져 자신의 존재를 잃어버린 사람들을 위한 치유의 과정으로 포커싱(Focusing)에 기반한 영성 훈련을 제안한다. 유진 젠들린(Eugene T. Gendlin)에 의해 시작된 포커싱은 몸의 인식에 집중하여 펠트 센스(Felt Sense)를 포착하는 과정을 통해 자신의 존재에 주목하게 하는 심리학의 한 분야이다. 이를 기반으로 한 영성 훈련은 지나치게 무거운 책임감과 사회적인 기대로 인해 자기 대상화가 일어난 교사들에게 잃어버린 자기의 목소리를 되찾게 하고, 교육의 서비스화 현상으로 인한 감정 노동으로부터 자신을 지켜낼 수 있게 한다. 괴물 부모(Monster Parents)라는 개념이 등장할 정도로 교사들은 학부모들의 지나친 민원 제기와 비합리적인 요구에 자주 노출되고, 정서적, 감정적으로 소진되기 쉬운 환경에 놓여있다. 이에 더해 교사라는 직업에 대한 높은 수준의 사회적 기대와 좋은 교사가 되고자 하는 본인의 열망, 공무원으로서 완수해야 하는 과도한 업무, 다양한 이유로 형성되는 책임감과 죄책감은 교사들이 홀로 감당해야 할 삶의 무게가 되어 그들을 짓누른다. 이 무거운 역할의 짐을 진 그들은 진실한 자기 자신으로 존재하기보다, 사람들이 기대하는 이상적인 모습의 가면을 자주 쓰게 된다. 위와 같은 상황에 처해있는 교사들은 자신도 모르는 사이에 자기 소외 현상과 자기 대상화의 상황에 놓이게 된다. 인간 대상화를 지속해서 경험한 사람들이 가해자의 시선을 내면화하여 자기 자신을 수단으로 여기고, 기능적 인간으로 존재하는 것에 익숙해진 상태를 의미하는 자기 대상화는 감정 노동에 지속해서 노출된 사람들에게 자주 발견되며, 인간 대상화 현상이 사회의 각 분야에서 심화되고 있는 한국 사회 안에서도 흔히 발견되는 현상이다. 이들에게 중요한 것은 지금 자신이 어떤 상황에 처해 있는지를 깨닫고, 자신의 인간성을 훼손하는 불합리한 상황 속에서 스스로를 지켜낼 수 있는 내면의 힘을 기르는 것이다. 이를 위해 이 논문은 포커싱과 표현 예술 치료의 원리를 활용한 영성 훈련을 통해 사회적 역할이 자신의 인격에 고착되어 잃어버린 진정한 나를 되찾고, 자신의 존재에 집중할 수 있는 의식 전환의 기회를 제공하고자 한다. This research suggests a spiritual practice based on “Focusing,” which was developed from an awareness of the severity of human objectification and self-objectification in Korean society, shown through the recent issue of teacher’s rights violation. Focusing is a branch of psychology where participants concentrate on their own existence through a process of capturing felt sense via bodily awareness. This process can be healing for those accustomed to heavy emotional labor and who have lost a sense of their own existence because of objectification both by others and by themselves. A spiritual practice based on focusing allows those who have become self-objectified to listen to their inner voices and protect themselves from undue emotional labor. Teachers are frequently subjected to unreasonable complaints and demands from some parents. In addition, the high social expectations around the profession of a teacher, the individual’s own desire to become an ideal teacher, the excessive workload as a public servant, and an overwhelming sense of responsibility and guilt become burdens in the lives of many teachers. Such individuals often choose to wear the social mask of the ideal teacher, even though they are burdened by this heavy role and unable to be their true selves.
In this situation, teachers are exposed to the dangers of self-alienation and self-objectification. Self-objectification is a state in which people internalize the perpetrator’s gaze, see themselves as a means, and become accustomed to existing solely as functional human beings. Such a condition is often found in people continuously forced to undertake emotional labor and is common in Korean society, where human objectification is intense. What is essential is that people understand the kind of situation they are currently exposed to and develop the inner strength and resilience to protect themselves from unreasonable situations that damage their humanity. This article seeks to challenge teachers in their state of dominated consciousness so that they might find their true selves that have been lost due to their social roles and rehabilitate these through a spiritual practice that follows the principles of focusing."
온라인 공간에서의 교권 침해에 대한 사례연구,"강요나,이은우",한국방송학회,2016,한국방송학회 학술대회 논문집,Vol.2016 No.11,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=dee3cc558f4cf89be9810257f7042666&keyword=교권침해,<NoAbs.>
[톡톡! 시사논술_사회+교육] 안전하게 수업할 권리 교권이 침해당하는 교실,박꽃핀,(주)크레몽,2023,청소년 매거진 톡톡 Talk Talk,Vol.2023 No.9,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4494ea61d65c3c3847de9c1710b0298d&keyword=교권침해,<NoAbs.>
초등교사의 교권 침해 예방을 위한 직무 수행 전략에 관한 연구,이명주,충북대학교 교육개발연구소,2023,한국교육논총,Vol.44 No.3,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8d0219712905d4444884a65323211ff0&keyword=교권침해,"This study aims to elucidate strategies conducive to safeguarding teachers' rights, thereby mitigating the risk of the Infringement of Teaching Rights. The investigation employed a qualitative approach, relying on in-depth interviews with educators who havd amassed a decade or more of experience in the teaching profession, and who had never experienced the Infringement of Teaching Rights.
To establish the foundational framework for this study, an exhaustive analysis of 884 instances of teaching rights violations in elementary schools from 2019 to 2022 was conducted. Subsequently, the facets of teachers' job performance and attitudes were divided into seven distinct categories; (1) Teachers' Teaching Officer, (2) Humanistic View of Students, (3) Classroom Rule Setting, (4) Interest Parent Management, (5) Teacher Fairness, (6) Parent Consultation, (7) Teacher Self-discipline. In the latter part of the investigation, in-depth interviews were conducted with 15 educators across the identified categories who had never experienced the Infringement of Teaching Rights. The objective was to gain insights into the strategies underpinning their job performance, aimed at forestalling encroachment on their teaching rights.
The findings of this study converge on a set of discernible job performance and attitudinal attributes that are crucial for preventing teaching rights infringements. These can be encapsulated as follows; (1) Establishment of professional authority through the augmentation of teachers' expertise, (2) Cultivation of a positive perspective toward students, (3) Adherence to prescribed classroom rules, (4) Strategic cultivation of relationships with concerned parents, (5) Equitable guidance and management of students, (6) Proactive engagement in parental counseling, (7) Exemplification of meticulousness by educators, and (8) Proficiency in delivering guidance to students in conjunction with thorough self-discipline."
학부모의 교권 침해 상황에서 나타난 학교장 리더십 분석 -서이초 교사 사건 이후 신문기사와 FGI를 중심으로-,"김승호,장수명",교육종합연구원,2024,교육종합연구,Vol.22 No.1,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=bfd91258339de389b7998d826d417196&keyword=교권침해,"To investigate principals’leadership role and its relevance in school situation in conflict, this study analyzes news articles regarding school principals and interviews with a group of experienced teachers, and identifies some concrete contents of leaderships working on the school sites. Firstly, this study reviews increasing school conflicts by parents’demand for and dissatisfaction with teachers, the leadership roles by principals, and current principal selection institution and training programs and confirms that within current system, it is difficult to form effective  and capable leadership to solve conflict democratically and efficiently in school situations. Secondly, this study search news articles for two months from July 18 to september 17 using the Korea Press Foundation's Big Kinds (www.bigkinds.com) service and find 217 articles related to the terms 'teacher rights' and 'principal'. After discussion, 14 articles and 22 cases were extracted and analyzed and a few distinctive leadership types are found such as avoiding responsibility, scolding teacher involved for responsibility, decisions pending, positive conflict mediation type, and proactive communication type. Thirdly, through focus group interview, we check how these kinds of leadership work on school-sites. Based on this analysis, we conclude that further researches and public discourse on leadership formation and principals’ selection and training are required."
교권 침해 학생·학부모 특별교육 의무화,김재명,주식회사 입시엔,2016,나침반 36.5도,Vol.31 No.-,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d401a879c6c19354b36097776a77e665&keyword=교권침해,<NoAbs.>
노동권으로서의 교권 침해 심화가 우려되는 까닭,김직수,한국비정규노동센터,2023,비정규 노동,Vol.162 No.-,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e9b825ce8358d00db7998d826d417196&keyword=교권침해,<NoAbs.>
`특수교사의 교권 침해 실태 및 개선 방안”에 대한 토론문 1,이경아,한국교원교육학회,2016,한국교원교육학회 학술대회자료집,Vol.2016 No.11,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=dda4a1c00e6b7d7b47de9c1710b0298d&keyword=교권침해,"올해도 봄이 아름답게 왔습니다. 봄에는 새학기가 시작되는 3월, 장애인의 날이
있는 4월, 그리고 가족의 달인 5월이 들어있습니다. 꽃은 흐드러지지만 ‘새학기를
맞은 장애자녀를 온 몸으로 지켜내다보면 가족 모두 탈진’해서 꽃들이 눈에 보이
지 않습니다. 올해도 장애와 관련한 몇 건의 ‘사건 사고’가 어김없이 신문에 실립
니다. 아버지가 아들을 껴안고 목숨줄을 놓았습니다. 부모가 장애자녀의 목숨줄을
끊었답니다. 복지사가 말 못하는 시설생활인을 질질 끌고 목을 조르는 동영상이
올라왔습니다."
교사 발달단계에 따른 교권 침해 경험 및 대응,"김보현,박미경,이홍재",한국정책학회,2019,한국정책학회 추계학술발표논문집,Vol.2019 No.-,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=378f76d76d51fd4d6aae8a972f9116fb&keyword=교권침해,<NoAbs.>
교권의 개념과 침해 구제방안,"조기성 ( Cho Kiseong ),정상우 ( Chong Sangwoo )",인하대학교 교육연구소,2016,교육문화연구,Vol.22 No.6,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e954e62045a8fdbe4884a65323211ff0&keyword=교권침해,"본 논문은 학교 붕괴의 원인이 되고 있는 교권 침해에 대한 의미와 교권 보장 내용을 명확하게 하고 교권 침해시 구제방안을 개선하는 것을 목적으로 하였다. 최근 교권 침해 사건 증가로 인해 교권 개념이 주목되고 있는 바, 학자들이 주장하는 교권 개념과 시·도 조례, 시·도 교육청의 매뉴얼에서 규정하는 개념 사이에 차이가 있음을 확인할 수 있었다. 이를 토대로 이 연구에서는 교권을 교육 법령에 의해 보장된 교사의 교육권 또는 인권 그리고 신분상 또는 직무상 특권 등이 침해되어 교사의 권위가 훼손됨으로써 결과적으로 학생의 학습권이 침해되는 경우로 보았다. 이를 바탕으로 첫째, 법령에서 교권 개념을 어떻게 인식하고 도입했는지 관련 법령들을 비교 분석하고, 둘째, 실제 문제가 발생했을 때 지침이 되는 시·도 교육청의 매뉴얼을 비판적으로 분석하였으며, 셋째, 교권 침해시 구제 방안에 있어 보완되어야 할 사항들을 제안하였다. This study aims at examining the significance of the infringement of teachers` rights, which is one of the causes behind collapsing schools, and clarifying the coverage of teachers` rights. Different perspectives on teachers` rights exist among lay people, scholars, and municipal offices of education, which may generate confusion and differences in understanding teachers` right. First, this study conceptualizes teachers` rights, reviewing related concepts and theories. Second, it compares and analyzes how related acts of law define and interpret teachers` rights. Third, it analyzes different manuals on teachers` rights from different municipal offices of education. Fourth, it seeks to lay out the coverage of teachers` rights to help protect teachers. Fifth, it proposes that related manuals be unified and standardized to protect teachers` rights in effect."
초ㆍ중등교육에서 교권 보호 법제의 쟁점과 과제,"김성기,김운종,전상훈",한국교원교육학회,2016,한국교원교육학회 학술대회자료집,Vol.2016 No.05,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e10a585cf0e4bbbf47de9c1710b0298d&keyword=교권침해,<NoAbs.>
초·중등교육에서 교권 보호 법제의 쟁점과 과제,김성기,한국교원교육학회,2016,한국교원교육학회 학술대회자료집,Vol.- No.학술대회,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8a3c9bdac0e431234884a65323211ff0&keyword=교권침해,"초?중등학교에서 교권 침해 사건이 언론에서 종종 보도되고 있다. 이러한 언론보
도가 있다는 것은 교권이 침해되고 있다는 사실만이 아니라 교권은 존중되어야 하
는데 그렇지 못하다는 문제의식을 담고 있다. 교권이 존중되어야 한다는 의식은
교권이 바로 서야 교육이 제대로 이루어질 수 있다는 전제에 공감하기 때문이다.
전문직으로서 교원이 그 권리와 권위를 인정받지 못하는 상황에서는 교육 내용을
학생이 순순히 받아들이기 어렵다. 따라서 교권은 교육활동을 가능케 하는 토대이
다. 그런데 지금 그 교권이 흔들리고 있고 그것은 단지 교사의 위기가 아니라 교
육의 위기를 나타내는 하나의 징표다."
교권보호를 위한 종합적 제도 개선방안,신정기,대한사립학교장회(구 대한사립중고등학교장회),2011,私學,Vol.128 No.-,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a2af3765502de1fdffe0bdc3ef48d419&keyword=교권침해,<NoAbs.>
주요국의 교권 보호 방안에 대한 사례 연구,"홍신기(Hong, SinKi)",학습자중심교과교육학회,2014,학습자중심교과교육연구,Vol.14 No.11,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1276e8e57163ffc47f7a54760bb41745&keyword=교권침해,"본 연구는 주요국의 교권을 회복하고 보호하려는 사례들을 살펴보고 그 시사점을 탐색하는데 목적이 있다. 교권 보호 법령 관점에서 주요국의 경우는 교권 보호를 위한 단독입법보다는 교육법 내에서 조항을 규정하고 있고 개인의 기본권을 규정하는
법률 내용을 근거로 활용하고 있다. 교권 보호 정책 관점에서 두드러진 특징은 교권보호 정책은 교실 내에서 이루어진 교사와 학생이 교육활동을 할 때 이루어지는 학생들의 행동에 대한 훈육 문제와 관련되어 있다. 교권 보호와 교권 침해 현상은 복
합적 요인이 작용하여 상호작용적 접근, 사회-환경적 접근, 사회통제론적 이론 등의 여러 이론의 틀을 가지고 이해하는 것이 중요하며 교사와 학생의 강한 유대관계 형성이 교권 보호를 위해 중요한 역할을 할 수 있다. 교권 보호를 시사점으로는 교권
의 용어 규정과 교권 보호를 위한 조치를 보다 상세하게 규정하고 실행을 국가적 차원에서 실행을 위해 노력해야 할 것이다. This study is to research the cases that major countries are trying to prevent and intervent violence against teachers at school. Internationally, the issue, violence against teachers, is recently raised many times. Also, the problem of lacking to teachers is in serious situation. In terms of enacted law and legislation, they usually do not enact law for preventing and intervening of violence against teachers only.
They use law for regulate fundamental rights of people. In a sense of policy for preventing and intervening of violence against teachers, there is one common characteristics that it is related to students behavior discipline. The result is that less controlled and managed classrooms are showed aggressive behaviors of its students.
It can be understood by using various theory frames, because it is very complex and changeable. In this study, three theory frames are used: interactional perspective, social-ecology perspective, and social theory. As a result, relationship of teachers and students is very critical role for protecting teacher s rights and authority. The
implication of this study is that government and legislature need to address more detail for preventing and dealing with violence against teachers at school, and to try in wide national level. On the basis of these results, this paper raised issues and suggested implications of policy and law for preventing and intervening of violence against teachers."
敎權의 確立과 方向,郭泳宇,한국교원교육학회,1985,한국교원교육연구,Vol.2 No.2,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=bfdf4a7d3559aaffffe0bdc3ef48d419&keyword=교권침해,<NoAbs.>
학생인권과 교권의 조화 어떻게 이룰 것인가,박재윤,대한사립학교장회(구 대한사립중고등학교장회),2011,私學,Vol.128 No.-,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3ce161c09fdac8c6ffe0bdc3ef48d419&keyword=교권침해,<NoAbs.>
유치원 교사의 교권에 대한 학부모의 인식,"양다경 ( Yang Dakyoung ),이연승 ( Lee Yeonseung )",한국어린이문학교육학회,2016,어린이문학교육연구,Vol.17 No.4,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=713704eab390a4a647de9c1710b0298d&keyword=교권침해,"본 연구는 유치원 교권에 중요한 영향을 미치는 유치원 학부모를 대상으로 유치원 교사의 교권에 대한 이해, 교권보장, 침해원인, 교권 확립에 대한 인식을 분석하여 유치원 교사의 교권에 대한 올바른 사회적 인식과 교권 확립을 마련하기 위한 기초 자료를 제공하는데 목적이 있다. 이러한 목적을 달성하기 위하여 부산광역시에 소재한 유치원 학부모를 대상으로 질문지 200부를 배부하여 최종 156부를 분석에 사용하였다. 연구결과 첫째, 교권 의미에 대한 학부모의 이해와 교권에 대한 인식은 높게 나타났으며, 교권 보장 실태에 대한 인식 중 신분·재산권에 대해 가장 높게 인식하고 있는 것으로 나타났다. 둘째, 교권침해 수준 및 원인에 대한 학부모의 인식은 `현재 교권침해 수준은 약간 침해받고 있다`에, 교사의 교권 확립을 저해하는 가장 큰 요인은 `교육현장을 고려하지 않은 국가의 교육정책` 에, 교사가 학부모로부터 교권을 침해받는 부분에 대해서는 `학부모의 부당한 요구나 간섭` 에 대해 가장 높게 나타났다. 셋째, 교권 확립 대책에 대한 학부모의 인식은 `교권보호를 위해 교사 스스로 노력해야 하며, 교권확립을 위한 제도마련이 필요하다` 에 가장 높게 인식하고 있는 것으로 나타났다. The aim of this study was to provide basic data necessary to form righteous social awareness of kindergarten teachers` authority and establish strong authority in of itself by analyzing the parents` understanding and perception of kindergarten teachers` authority, guarantee of authority, causes of infringement and establishment because parents have a great impact on kindergarten teacher`s` authority. To this end, this study gave a questionnaire survey to the parents of students attending kindergartens located in Busan Metropolitan City. A total of 156 questionnaires were collected and analyzed. The results suggested the following. First, the parents had a high level of understanding for the meaning of a teacher`s authority and perception of teacher`s authority. In terms of guaranteed authority, they perceived a kindergarten teacher`s status and rights to property the most. Second, most of the respondents answered `their authority is currently infringed to some extent` for the infringement of authority, and responded that the biggest factor hindering a teacher`s authority from being established is `the government`s educational policy that does not consider the actual state of the educational field`. In addition, the parents perceived that the teachers` authority is most infringed by `parents` unjust requests or interventions`. Third, the parents most perceived that `the teachers themselves have to try to protect their authority and a system is necessary` to establish the teacher`s authority."
